Timestamp,Age,Gender,Living Area,Class,Household Size,To what extent are your Parents involved in your education,Are your Parents literate,What is the highest level of education of your Father,What is the highest level of education of your Mother,Who is more likely to help with your homework,How likely is your Mother to help with your homework,How likely is your Father to help with your homework,How far is your school from your home,What transportation type do you get to school with,Are there famous landmarks where you live,Is the road to your home tarred,Do you have three-square meals every day,How often do you eat vegetables and fruits in your home,How often do you take vitamins,Can you say that you eat balanced diet at home,Do you take breakfast before school,Do you take food/lunch to school,What is your attendance percentage for the last school year/session,How many hours do you spend studying everyday,How many hours do you sleep everyday,How often do you exercise,What after school activities do you engage in? (Tick all that apply.),Do you engage or participate in any extracurricular activities in school,"Are you a part of any club in school? (School clubs like Jet, Press, Red Cross etc.)",Do you participate in debates and school intellectual competitions,Do you participate in sporting activities in school,"Do you have a personal smartphone or device such as laptop, tablet etc.?",Do you have access to Internet services,What is your current exams grade score,Is your academic performance balanced,What is your current position in the overall grade at school
13/05/2025 19:37:58,10 - 15 Years,Female,Semi-Urban,SS2,2,Not At All Involved,Yes,Masters Degree,University Or Polytechnic Degree,Father,Not Likely,Very Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Not Often,Not Often,Yes,No,No,60 & Above,3Hrs & Above,4 - 5Hrs,Not Often,"Playing, Reading, Sleeping",No,No,Yes,No,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 19:39:58,10 - 15 Years,Female,Urban,SS 3,6,Very Involved,No,Phd,Phd,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Not Far,Trekking,Yes,Yes,Yes,Often,Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,After School Lessons,Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 19:41:03,10 - 15 Years,Female,Semi-Urban,SENIOR SECONDARY SCHOOL 2,Duplex,Involved,Yes,Informal Education (Vocational Training),Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Often,Often,Yes,No,No,60 & Above,Between 1Hr - 3Hrs,4 - 5Hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 20:09:12,15 - 20 Years,Female,Urban,MIDDLE,Small,Very Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Not Often,Reading,Yes,Yes,No,No,Yes,Yes,65 & Above,Yes,Top 5
13/05/2025 20:10:08,10 - 15 Years,Female,Semi-Urban,SS2,Duplex,Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,Yes,No,Often,Not Often,Yes,No,No,60 & Above,Between 1Hr - 3Hrs,4 - 5Hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 20:15:17,15 - 20 Years,Male,Rural,MIDDLE CLASS,5,Very Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,No,Not Often,Not Often,No,Yes,No,40 - 60 %,Below 1Hr,6 - 7Hrs,Not Often,Reading,No,No,Yes,Yes,Yes,Yes,Between 45 - 55 %,No,Top 5
13/05/2025 20:33:12,15 - 20 Years,Female,Semi-Urban,DONE WITH SECONDARY SCHOOL,8,Very Involved,Yes,Waec/Ssce,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,Yes,Often,Often,Yes,No,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Not Often,"Home Chores, Sleeping",No,No,No,No,Yes,Yes,65 & Above,Yes,Top 10
13/05/2025 20:34:59,10 - 15 Years,Female,Urban,SS2,5,Very Involved,No,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Very Likely,Very Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Often,Yes,No,Yes,60 & Above,Below 1Hr,4 - 5Hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & Above,Yes,Top 3
13/05/2025 20:58:56,5 - 10 Years,Female,Urban,PRY 4,Small,Very Involved,Yes,University Or Polytechnic Degree,Masters Degree,Mother,Very Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,After School Lessons,Yes,No,No,Yes,No,Yes,Between 55 - 65 %,Yes,Top 10
13/05/2025 23:27:43,10 - 15 Years,Female,Rural,SS2,6,Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,Yes,No,Often,Often,Yes,No,Yes,60 & Above,Between 1Hr - 3Hrs,4 - 5Hrs,Not Often,Sleeping,No,Yes,Yes,No,Yes,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 08:08:27,15 - 20 Years,Female,Semi-Urban,200 LEVEL,Family Of 6,Very Involved,Yes,University Or Polytechnic Degree,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Often,Yes,Yes,No,60 & Above,3Hrs & Above,7 - 8Hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & Above,No,Top 10
14/05/2025 10:06:00,10 - 15 Years,Male,Rural,SS 2,5,Not At All Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Very Far,Trekking,No,No,No,Very Often,Very Often,No,Yes,No,60 & Above,Below 1Hr,6 - 7Hrs,Not Often,Hawking/Trading,No,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 10:31:13,5 - 10 Years,Male,Urban,PRY 1,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),Mother,Likely,Not Likely,Far,Trekking,Yes,Yes,No,Often,Not Often,Yes,Yes,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,Reading,Yes,No,Yes,Yes,No,No,65 & Above,Yes,Top 10
14/05/2025 10:38:09,5 - 10 Years,Female,Rural,BASIC 3,5,Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Mother,Very Likely,Very Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,Yes,Yes,Very Often,Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,Reading,Yes,No,Yes,Yes,No,No,65 & Above,Yes,Top 3
14/05/2025 10:39:11,10 - 15 Years,Female,Rural,JSS2,Small,Very Involved,No,Waec/Ssce,Waec/Ssce,Mother,Likely,Very Likely,Very Far,Private Transportation (Parents Car/Vehicle),Yes,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,After School Lessons,Yes,No,Yes,Yes,No,Yes,Between 55 - 65 %,Yes,Top 3
14/05/2025 10:41:40,10 - 15 Years,Male,Urban,JSS 2,Big,Very Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Very Likely,Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Often,Yes,Yes,No,60 & Above,3Hrs & Above,7 - 8Hrs,Very Often,After School Lessons,Yes,No,Yes,Yes,No,No,Between 55 - 65 %,Yes,Top 3
14/05/2025 10:44:34,15 - 20 Years,Female,Rural,SS1,Big,Very Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Not Far,Trekking,No,No,Yes,Very Often,Often,Yes,No,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Not Often,Playing,Yes,No,No,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 10:46:36,10 - 15 Years,Female,Urban,BASIC 5,Big,Very Involved,No,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Not Far,Trekking,Yes,No,Yes,Very Often,Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 10:47:50,15 - 20 Years,Female,Rural,SS3,First,Not At All Involved,No,University Or Polytechnic Degree,Phd,Mother,Very Likely,Likely,Not Far,Private Transportation (Parents Car/Vehicle),Yes,Yes,No,Very Often,Not Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,6 - 7Hrs,Not Often,"After School Lessons, Playing, Reading",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 10:48:58,15 - 20 Years,Female,Rural,SS2,Big,Very Involved,No,Waec/Ssce,Informal Education (Vocational Training),Mother,Likely,Not Likely,Very Far,Private Transportation (Parents Car/Vehicle),No,No,Yes,Very Often,Not Often,Yes,No,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,Playing,Yes,No,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 10:49:54,10 - 15 Years,Male,Urban,BASIC 5,Big,Involved,Yes,University Or Polytechnic Degree,Informal Education (Vocational Training),Father,Not Likely,Very Likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,40 - 60 %,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,No,No,No,Yes,Yes,No,Between 45 - 55 %,Yes,Top 10
14/05/2025 10:51:59,15 - 20 Years,Female,Semi-Urban,SS2,Big,Involved,Yes,University Or Polytechnic Degree,Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Not Far,Trekking,No,No,Yes,Very Often,Often,Yes,No,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,Hawking/Trading,Yes,No,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
14/05/2025 10:55:03,10 - 15 Years,Male,Rural,BASIC 5,Big,Very Involved,No,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Not Far,Trekking,No,No,Yes,Not Often,Often,Yes,No,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,No,No,65 & Above,Yes,Top 5
14/05/2025 10:55:29,15 - 20 Years,Male,Rural,SS2,Big,Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,Yes,Often,Often,Yes,Yes,No,60 & Above,Below 1Hr,7 - 8Hrs,Very Often,Playing,Yes,No,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 10:58:00,10 - 15 Years,Female,Rural,BASIC 5,Big,Very Involved,Yes,Waec/Ssce,University Or Polytechnic Degree,Mother,Very Likely,Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,No,No,No,Yes,Yes,Yes,65 & Above,Yes,Top 10
14/05/2025 10:59:19,15 - 20 Years,Male,Rural,SS1,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,No,60 & Above,Below 1Hr,7 - 8Hrs,Often,"Hawking/Trading, Playing, Sleeping",No,No,No,Yes,Yes,Yes,Between 55 - 65 %,No,Top 10
14/05/2025 11:00:52,10 - 15 Years,Female,Rural,BASIC 6,Small,Involved,No,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:03:01,10 - 15 Years,Female,Rural,SS1,Big,Involved,Yes,Informal Education (Vocational Training),University Or Polytechnic Degree,Mother,Very Likely,Not Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Not Often,Often,Yes,No,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,"Hawking/Trading, Playing, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
14/05/2025 11:03:40,10 - 15 Years,Female,Rural,BASIC 5,Big,Very Involved,Yes,Waec/Ssce,Waec/Ssce,Mother,Likely,Likely,Far,Private Transportation (Parents Car/Vehicle),No,No,Yes,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:05:02,15 - 20 Years,Male,Rural,SS2,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Not Far,Trekking,No,No,Yes,Often,Very Often,Yes,No,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Often,"Hawking/Trading, Reading",No,No,No,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 11:05:59,10 - 15 Years,Female,Rural,BASIC 5,Big,Very Involved,No,Waec/Ssce,Waec/Ssce,Mother,Very Likely,Likely,Far,Trekking,No,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,Yes,No,Between 55 - 65 %,Yes,Top 3
14/05/2025 11:08:55,10 - 15 Years,Male,Urban,BASIC 5,Big,Involved,Yes,University Or Polytechnic Degree,Informal Education (Vocational Training),Mother,Likely,Not Likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Often,After School Lessons,Yes,No,No,Yes,Yes,Yes,65 & Above,Yes,Top 10
14/05/2025 11:10:17,10 - 15 Years,Female,Urban,SS 3,5,Very Involved,Yes,Phd,Masters Degree,Mother,Very Likely,Likely,Not Far,Private Transportation (Parents Car/Vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,6 - 7Hrs,Often,"After School Lessons, Playing, Reading",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
14/05/2025 11:10:49,10 - 15 Years,Female,Semi-Urban,SS1,Big,Very Involved,Yes,Masters Degree,Masters Degree,Father,Very Likely,Very Likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,"Playing, Reading",Yes,Yes,Yes,Yes,Yes,Yes,65 & Above,Yes,Top 3
14/05/2025 11:11:50,10 - 15 Years,Female,Urban,SS1,5,Very Involved,No,Waec/Ssce,Waec/Ssce,Father,Likely,Very Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,40 - 60 %,Below 1Hr,6 - 7Hrs,Not Often,Hawking/Trading,Yes,No,No,Yes,No,No,Between 45 - 55 %,Yes,Top 10
14/05/2025 11:13:45,15 - 20 Years,Male,Urban,SS 2,4,Very Involved,Yes,Masters Degree,University Or Polytechnic Degree,Father,Likely,Very Likely,Far,Private Transportation (Parents Car/Vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,6 - 7Hrs,Often,"After School Lessons, Playing",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:14:23,10 - 15 Years,Male,Semi-Urban,SS1,Big,Very Involved,Yes,University Or Polytechnic Degree,University Or Polytechnic Degree,Father,Very Likely,Very Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Not Often,Often,Yes,Yes,No,60 & Above,Below 1Hr,7 - 8Hrs,Very Often,"Playing, Reading, Talking",No,No,No,Yes,Yes,Yes,65 & Above,Yes,Top 5
14/05/2025 11:15:45,10 - 15 Years,Female,Urban,SS1,5,Very Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Very Likely,Likely,Not Far,Trekking,No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Below 1Hr,6 - 7Hrs,Very Often,Reading,Yes,Yes,No,Yes,No,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 11:18:07,15 - 20 Years,Female,Semi-Urban,SS 1,6,Involved,No,University Or Polytechnic Degree,University Or Polytechnic Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Likely,Very Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,Yes,No,Not Often,Not Often,No,No,No,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,"Hawking/Trading, Sleeping",Yes,Yes,Yes,Yes,No,No,Between 55 - 65 %,No,Top 10
14/05/2025 11:18:11,10 - 15 Years,Male,Semi-Urban,SS1,Small,Very Involved,Yes,University Or Polytechnic Degree,Masters Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,Yes,Not Often,Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Very Often,"Playing, Playing Games, Reading, Sleeping",Yes,No,Yes,Yes,No,No,65 & Above,Yes,Top 3
14/05/2025 11:21:25,10 - 15 Years,Male,Urban,SS2,5,Very Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Not Far,Trekking,No,No,Yes,Very Often,Very Often,Yes,No,Yes,40 - 60 %,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,"Playing, Reading",No,No,No,No,No,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:21:59,15 - 20 Years,Male,Rural,SS1,Small,Involved,Yes,University Or Polytechnic Degree,Informal Education (Vocational Training),Mother,Likely,Not Likely,Very Far,Trekking,Yes,Yes,Yes,Very Often,Often,Yes,Yes,No,40 - 60 %,Below 1Hr,7 - 8Hrs,Very Often,"Hawking/Trading, Playing, Sleeping",No,No,No,No,Yes,Yes,Between 45 - 55 %,No,Top 10
14/05/2025 11:26:25,15 - 20 Years,Male,Urban,SS2,6,Involved,Yes,Waec/Ssce,Waec/Ssce,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Likely,Not Likely,Not Far,Trekking,No,Yes,Yes,Not Often,Not Often,Yes,No,Yes,40 - 60 %,Below 1Hr,4 - 5Hrs,Often,"Reading, Sleeping",No,No,No,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 11:26:35,10 - 15 Years,Male,Rural,SS 1,7,Not At All Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Not Likely,Very Far,Trekking,No,No,No,Often,Often,No,Yes,No,40 - 60 %,Between 1Hr - 3Hrs,4 - 5Hrs,Not Often,"Hawking/Trading, Playing",No,No,No,Yes,No,No,Between 45 - 55 %,No,Top 10
14/05/2025 11:27:39,15 - 20 Years,Male,Rural,SS 2,Big,Very Involved,Yes,University Or Polytechnic Degree,Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Not Likely,Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Often,Yes,Yes,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,"Playing, Sleeping",Yes,No,No,Yes,No,No,65 & Above,Yes,Top 5
14/05/2025 11:31:44,10 - 15 Years,Female,Urban,SS 1,Big,Very Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Very Likely,Very Likely,Far,"Public Transportation (Bike, Cab, Bus Etc.)",Yes,No,No,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Below 1Hr,7 - 8Hrs,Often,"Playing, Reading",Yes,No,Yes,No,No,No,65 & Above,Yes,Top 3
14/05/2025 11:34:01,10 - 15 Years,Female,Rural,SS1,6,Very Involved,Yes,University Or Polytechnic Degree,Masters Degree,"Other (Siblings, Other Family Members, Lesson Teacher Etc.)",Very Likely,Very Likely,Not Far,"Public Transportation (Bike, Cab, Bus Etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & Above,Between 1Hr - 3Hrs,7 - 8Hrs,Not Often,"Reading, Sleeping",Yes,Yes,Yes,No,Yes,Yes,65 & Above,Yes,Top 3
14/05/2025 11:34:16,15 - 20 Years,Female,Semi-Urban,SS 3,3,Very Involved,Yes,University Or Polytechnic Degree,Waec/Ssce,Father,Likely,Very Likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & Above,3Hrs & Above,7 - 8Hrs,Very Often,"After School Lessons, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 10
