Timestamp,Age,Gender,Living Area,Class,Household Size,To what extent are your Parents involved in your education,Are your Parents literate,What is the highest level of education of your Father,What is the highest level of education of your Mother,Who is more likely to help with your homework,How likely is your Mother to help with your homework,How likely is your Father to help with your homework,How far is your school from your home,What transportation type do you get to school with,Are there famous landmarks where you live,Is the road to your home tarred,Do you have three-square meals every day,How often do you eat vegetables and fruits in your home,How often do you take vitamins,Can you say that you eat balanced diet at home,Do you take breakfast before school,Do you take food/lunch to school,What is your attendance percentage for the last school year/session,How many hours do you spend studying everyday,How many hours do you sleep everyday,How often do you exercise,What after school activities do you engage in? (Tick all that apply.),Do you engage or participate in any extracurricular activities in school,"Are you a part of any club in school? (School clubs like Jet, Press, Red Cross etc.)",Do you participate in debates and school intellectual competitions,Do you participate in sporting activities in school,"Do you have a personal smartphone or device such as laptop, tablet etc.?",Do you have access to Internet services,What is your current exams grade score,Is your academic performance balanced,What is your current position in the overall grade at school
13/05/2025 20:34:59,10 - 15 years,Female,Urban,Ss2,5,Very Involved,No,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Very likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Often,Yes,No,Yes,60 & above,Below 1hr,4 - 5hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & above,Yes,Top 3
13/05/2025 20:58:56,5 - 10 years,Female,Urban,Pry 4,Small ,Very Involved,Yes,University or Polytechnic Degree,Masters Degree,Mother,Very likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,After school lessons,Yes,No,No,Yes,No,Yes,Between 55 - 65 %,Yes,Top 10
13/05/2025 23:27:43,10 - 15 years,Female,Rural,SS2,6,Involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,Yes,No,Often,Often,Yes,No,Yes,60 & above,Between 1hr - 3hrs,4 - 5hrs,Not Often,Sleeping,No,Yes,Yes,No,Yes,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 08:08:27,15 - 20 years,Female,Semi-urban,200 level,Family of 6,Very Involved,Yes,University or Polytechnic Degree,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Often,Yes,Yes,No,60 & above,3hrs & above,7 - 8hrs,Not Often,Sleeping,No,No,No,No,Yes,Yes,65 & above,No,Top 10
14/05/2025 10:06:00,10 - 15 years,Male,Rural,SSS 2,5,Not at all involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Very Far,Trekking,No,No,No,Very Often,Very Often,No,Yes,No,60 & above,Below 1hr,6 - 7hrs,Not Often,Hawking/Trading,No,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 10:31:13,5 - 10 years,Male,Urban,Pry 1,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),Mother,Likely,Not likely,Far,Trekking,Yes,Yes,No,Often,Not Often,Yes,Yes,Yes,60 & above,Below 1hr,7 - 8hrs,Often,Reading,Yes,No,Yes,Yes,No,No,65 & above,Yes,Top 10
14/05/2025 10:38:09,5 - 10 years,Female,Rural,Basic 3,5,Involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,Mother,Very likely,Very likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,Yes,Yes,Very Often,Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,Reading,Yes,No,Yes,Yes,No,No,65 & above,Yes,Top 3
14/05/2025 10:39:11,10 - 15 years,Female,Rural,Jss2,Small ,Very Involved,No,WAEC/SSCE,WAEC/SSCE,Mother,Likely,Very likely,Very Far,Private transportation (Parents car/vehicle),Yes,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,After school lessons,Yes,No,Yes,Yes,No,Yes,Between 55 - 65 %,Yes,Top 3
14/05/2025 10:41:40,10 - 15 years,Male,Urban,Jss 2,Big ,Very Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Often,Yes,Yes,No,60 & above,3hrs & above,7 - 8hrs,Very Often,After school lessons,Yes,No,Yes,Yes,No,No,Between 55 - 65 %,Yes,Top 3
14/05/2025 10:44:34,15 - 20 years,Female,Rural,Ss1,Big,Very Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Not Far,Trekking,No,No,Yes,Very Often,Often,Yes,No,Yes,60 & above,Below 1hr,7 - 8hrs,Not Often,Playing,Yes,No,No,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 10:46:36,10 - 15 years,Female,Urban,Basic 5,Big ,Very Involved,No,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Not Far,Trekking,Yes,No,Yes,Very Often,Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 10:47:50,15 - 20 years,Female,Rural,Ss3,First ,Not at all involved,No,University or Polytechnic Degree,PhD,Mother,Very likely,Likely,Not Far,Private transportation (Parents car/vehicle),Yes,Yes,No,Very Often,Not Often,Yes,Yes,Yes,60 & above,3hrs & above,6 - 7hrs,Not Often,"After school lessons, Reading, Playing",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 10:48:58,15 - 20 years,Female,Rural,Ss2,Big,Very Involved,No,WAEC/SSCE,Informal Education (Vocational Training),Mother,Likely,Not likely,Very Far,Private transportation (Parents car/vehicle),No,No,Yes,Very Often,Not Often,Yes,No,Yes,60 & above,Below 1hr,7 - 8hrs,Often,Playing,Yes,No,Yes,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 10:49:54,10 - 15 years,Male,Urban,Basic 5,Big ,Involved,Yes,University or Polytechnic Degree,Informal Education (Vocational Training),Father,Not likely,Very likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,40 - 60 %,3hrs & above,7 - 8hrs,Often,After school lessons,No,No,No,Yes,Yes,No,Between 45 - 55 %,Yes,Top 10
14/05/2025 10:51:59,15 - 20 years,Female,Semi-urban,Ss2,Big,Involved,Yes,University or Polytechnic Degree,Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Not Far,Trekking,No,No,Yes,Very Often,Often,Yes,No,Yes,60 & above,Below 1hr,7 - 8hrs,Often,Hawking/Trading,Yes,No,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
14/05/2025 10:55:03,10 - 15 years,Male,Rural,Basic 5,Big ,Very Involved,No,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Not Far,Trekking,No,No,Yes,Not Often,Often,Yes,No,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,No,No,65 & above,Yes,Top 5
14/05/2025 10:55:29,15 - 20 years,Male,Rural,Ss2,Big,Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Often,Often,Yes,Yes,No,60 & above,Below 1hr,7 - 8hrs,Very Often,Playing,Yes,No,Yes,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 10:58:00,10 - 15 years,Female,Rural,Basic 5,Big ,Very Involved,Yes,WAEC/SSCE,University or Polytechnic Degree,Mother,Very likely,Likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,No,No,No,Yes,Yes,Yes,65 & above,Yes,Top 10
14/05/2025 10:59:19,15 - 20 years,Male,Rural,Ss1,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,No,60 & above,Below 1hr,7 - 8hrs,Often,"Playing, Sleeping, Hawking/Trading",No,No,No,Yes,Yes,Yes,Between 55 - 65 %,No,Top 10
14/05/2025 11:00:52,10 - 15 years,Female,Rural,Basic 6,Small,Involved,No,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:03:01,10 - 15 years,Female,Rural,Ss1,Big,Involved,Yes,Informal Education (Vocational Training),University or Polytechnic Degree,Mother,Very likely,Not likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Not Often,Often,Yes,No,Yes,60 & above,Below 1hr,7 - 8hrs,Often,"Playing, Sleeping, Hawking/Trading",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
14/05/2025 11:03:40,10 - 15 years,Female,Rural,Basic 5,Big ,Very Involved,Yes,WAEC/SSCE,WAEC/SSCE,Mother,Likely,Likely,Far,Private transportation (Parents car/vehicle),No,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,No,No,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:05:02,15 - 20 years,Male,Rural,Ss2,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Not Far,Trekking,No,No,Yes,Often,Very Often,Yes,No,Yes,60 & above,Below 1hr,6 - 7hrs,Often,"Reading, Hawking/Trading",No,No,No,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 11:05:59,10 - 15 years,Female,Rural,Basic 5,Big ,Very Involved,No,WAEC/SSCE,WAEC/SSCE,Mother,Very likely,Likely,Far,Trekking,No,No,Yes,Often,Not Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,Yes,No,Between 55 - 65 %,Yes,Top 3
14/05/2025 11:08:55,10 - 15 years,Male,Urban,Basic 5,Big ,Involved,Yes,University or Polytechnic Degree,Informal Education (Vocational Training),Mother,Likely,Not likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Often,After school lessons,Yes,No,No,Yes,Yes,Yes,65 & above,Yes,Top 10
14/05/2025 11:10:17,10 - 15 years,Female,Urban,SSS 3,5,Very Involved,Yes,PhD,Masters Degree,Mother,Very likely,Likely,Not Far,Private transportation (Parents car/vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,3hrs & above,6 - 7hrs,Often,"After school lessons, Reading, Playing",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
14/05/2025 11:10:49,10 - 15 years,Female,Semi-urban,Ss1,Big,Very Involved,Yes,Masters Degree,Masters Degree,Father,Very likely,Very likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,"Reading, Playing",Yes,Yes,Yes,Yes,Yes,Yes,65 & above,Yes,Top 3
14/05/2025 11:11:50,10 - 15 years,Female,Urban,SS1,5,Very Involved,No,WAEC/SSCE,WAEC/SSCE,Father,Likely,Very likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,40 - 60 %,Below 1hr,6 - 7hrs,Not Often,Hawking/Trading,Yes,No,No,Yes,No,No,Between 45 - 55 %,Yes,Top 10
14/05/2025 11:13:45,15 - 20 years,Male,Urban,SSS 2,4,Very Involved,Yes,Masters Degree,University or Polytechnic Degree,Father,Likely,Very likely,Far,Private transportation (Parents car/vehicle),Yes,Yes,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,6 - 7hrs,Often,"After school lessons, Playing",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:14:23,10 - 15 years,Male,Semi-urban,Ss1,Big,Very Involved,Yes,University or Polytechnic Degree,University or Polytechnic Degree,Father,Very likely,Very likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Not Often,Often,Yes,Yes,No,60 & above,Below 1hr,7 - 8hrs,Very Often,"Reading, Playing, Talking ",No,No,No,Yes,Yes,Yes,65 & above,Yes,Top 5
14/05/2025 11:15:45,10 - 15 years,Female,Urban,SS1,5,Very Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Likely,Not Far,Trekking,No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Below 1hr,6 - 7hrs,Very Often,Reading,Yes,Yes,No,Yes,No,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 11:18:07,15 - 20 years,Female,Semi-urban,SSS 1,6,Involved,No,University or Polytechnic Degree,University or Polytechnic Degree,"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Likely,Very Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,Yes,No,Not Often,Not Often,No,No,No,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,"Sleeping, Hawking/Trading",Yes,Yes,Yes,Yes,No,No,Between 55 - 65 %,No,Top 10
14/05/2025 11:18:11,10 - 15 years,Male,Semi-urban,Ss1,Small ,Very Involved,Yes,University or Polytechnic Degree,Masters Degree,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Not Often,Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Very Often,"Reading, Playing, Sleeping, Playing games ",Yes,No,Yes,Yes,No,No,65 & above,Yes,Top 3
14/05/2025 11:21:25,10 - 15 years,Male,Urban,Ss2 ,5,Very Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Not Far,Trekking,No,No,Yes,Very Often,Very Often,Yes,No,Yes,40 - 60 %,Between 1hr - 3hrs,7 - 8hrs,Not Often,"Reading, Playing",No,No,No,No,No,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:21:59,15 - 20 years,Male,Rural,Ss1,Small ,Involved,Yes,University or Polytechnic Degree,Informal Education (Vocational Training),Mother,Likely,Not likely,Very Far,Trekking,Yes,Yes,Yes,Very Often,Often,Yes,Yes,No,40 - 60 %,Below 1hr,7 - 8hrs,Very Often,"Playing, Sleeping, Hawking/Trading",No,No,No,No,Yes,Yes,Between 45 - 55 %,No,Top 10
14/05/2025 11:26:25,15 - 20 years,Male,Urban,Ss2,6,Involved,Yes,WAEC/SSCE,WAEC/SSCE,"Other (Siblings, other family members, lesson teacher etc.)",Likely,Not likely,Not Far,Trekking,No,Yes,Yes,Not Often,Not Often,Yes,No,Yes,40 - 60 %,Below 1hr,4 - 5hrs,Often,"Reading, Sleeping",No,No,No,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 5
14/05/2025 11:26:35,10 - 15 years,Male,Rural,SSS 1,7,Not at all involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Very Far,Trekking,No,No,No,Often,Often,No,Yes,No,40 - 60 %,Between 1hr - 3hrs,4 - 5hrs,Not Often,"Playing, Hawking/Trading",No,No,No,Yes,No,No,Between 45 - 55 %,No,Top 10
14/05/2025 11:27:39,15 - 20 years,Male,Rural,SSS 2 ,Big ,Very Involved,Yes,University or Polytechnic Degree,Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Likely,Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Often,Yes,Yes,Yes,60 & above,Below 1hr,7 - 8hrs,Often,"Playing, Sleeping, ",Yes,No,No,Yes,No,No,65 & above,Yes,Top 5
14/05/2025 11:31:44,10 - 15 years,Female,Urban,SSS 1,Big,Very Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Very likely,Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,No,Very Often,Very Often,Yes,Yes,Yes,60 & above,Below 1hr,7 - 8hrs,Often,"Reading, Playing",Yes,No,Yes,No,No,No,65 & above,Yes,Top 3
14/05/2025 11:34:01,10 - 15 years,Female,Rural,SS1 ,6,Very Involved,Yes,University or Polytechnic Degree,Masters Degree,"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Very likely,Not Far,"Public transportation (Bike, Cab, Bus etc.)",No,No,Yes,Very Often,Very Often,Yes,Yes,Yes,60 & above,Between 1hr - 3hrs,7 - 8hrs,Not Often,"Reading, Sleeping",Yes,Yes,Yes,No,Yes,Yes,65 & above,Yes,Top 3
14/05/2025 11:34:16,15 - 20 years,Female,Semi-urban,SSS 3,3,Very Involved,Yes,University or Polytechnic Degree,WAEC/SSCE,Father,Likely,Very likely,Not Far,Trekking,No,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,3hrs & above,7 - 8hrs,Very Often,"After school lessons, Reading, Sleeping",Yes,Yes,Yes,Yes,Yes,Yes,Between 55 - 65 %,Yes,Top 10
14/05/2025 11:35:51,10 - 15 years,Female,Urban,SSS 2 ,Big,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Likely,Likely,Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Often,Often,Yes,Yes,Yes,60 & above,Below 1hr,6 - 7hrs,Not Often,"Reading, Playing, Sleeping",Yes,No,Yes,Yes,No,No,65 & above,Yes,Top 5
14/05/2025 11:37:25,15 - 20 years,Male,Urban,SS1 ,6,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Not likely,Not likely,Not Far,Trekking,No,Yes,Yes,Very Often,Very Often,Yes,No,No,60 & above,Below 1hr,7 - 8hrs,Often,Playing,No,Yes,No,Yes,Yes,Yes,Between 55 - 65 %,No,Top 10
14/05/2025 11:38:30,15 - 20 years,Female,Urban,SSS 1,Big ,Involved,No,Informal Education (Vocational Training),Informal Education (Vocational Training),"Other (Siblings, other family members, lesson teacher etc.)",Very likely,Very likely,Far,"Public transportation (Bike, Cab, Bus etc.)",Yes,No,Yes,Often,Very Often,Yes,Yes,Yes,60 & above,Below 1hr,4 - 5hrs,Very Often,"Reading, Playing, Sleeping",Yes,No,Yes,Yes,No,No,65 & above,Yes,Top 10
